"n","max_key","number_of_run","total_time","average_time","average_time_insert","average_time_search","average_time_delete","total_time_insert","total_time_search","total_time_delete","Ologn"
880000,10000,10,3604.427000,360.442700,174.843800,174.464000,11.134900,1748.438000,1744.640000,111.349000,5.944483
890000,10000,10,3662.818000,366.281800,176.775900,177.969700,11.536200,1767.759000,1779.697000,115.362000,5.949390
900000,10000,10,3703.794000,370.379400,178.774400,179.841400,11.763600,1787.744000,1798.414000,117.636000,5.954243
910000,10000,10,3892.348000,389.234800,188.964100,188.339800,11.930900,1889.641000,1883.398000,119.309000,5.959042
920000,10000,10,3968.222000,396.822200,189.830800,194.835800,12.155600,1898.308000,1948.358000,121.556000,5.963788
930000,10000,10,3908.511000,390.851100,188.429500,190.341000,12.080600,1884.295000,1903.410000,120.806000,5.968483
940000,10000,10,4013.592000,401.359200,193.705300,195.474900,12.179000,1937.053000,1954.749000,121.790000,5.973128
950000,10000,10,3917.209000,391.720900,189.348800,190.548600,11.823500,1893.488000,1905.486000,118.235000,5.977724
960000,10000,10,4020.913000,402.091300,196.173600,193.783500,12.134200,1961.736000,1937.835000,121.342000,5.982271
970000,10000,10,4020.510000,402.051000,194.336800,195.747700,11.966500,1943.368000,1957.477000,119.665000,5.986772
980000,10000,10,4081.794000,408.179400,197.710900,198.430900,12.037600,1977.109000,1984.309000,120.376000,5.991226
990000,10000,10,4119.675000,411.967500,199.363100,200.372200,12.232200,1993.631000,2003.722000,122.322000,5.995635
1000000,10000,10,4457.878000,445.787800,219.010900,214.155200,12.621700,2190.109000,2141.552000,126.217000,6.000000
