n;max_key;number_of_run;total_time;average_time;average_time_insert;average_time_search;average_time_delete;total_time_insert;total_time_search;total_time_delete;Ologn
99000;10000;1;33.033000;33.033000;11.280000;11.420000;10.333000;11.280000;11.420000;10.333000;4.995635
100000;10000;1;32.861000;32.861000;11.295000;11.327000;10.239000;11.295000;11.327000;10.239000;5.000000
101000;10000;1;32.857000;32.857000;11.101000;11.426000;10.330000;11.101000;11.426000;10.330000;5.004322
102000;10000;1;33.262000;33.262000;11.180000;11.670000;10.412000;11.180000;11.670000;10.412000;5.008600
103000;10000;1;34.469000;34.469000;11.564000;12.030000;10.875000;11.564000;12.030000;10.875000;5.012837
104000;10000;1;33.655000;33.655000;11.483000;11.551000;10.621000;11.483000;11.551000;10.621000;5.017034
105000;10000;1;34.829000;34.829000;11.975000;11.986000;10.868000;11.975000;11.986000;10.868000;5.021189
106000;10000;1;33.629000;33.629000;11.678000;11.459000;10.492000;11.678000;11.459000;10.492000;5.025306
107000;10000;1;36.994000;36.994000;13.078000;12.903000;11.013000;13.078000;12.903000;11.013000;5.029384
108000;10000;1;35.377000;35.377000;12.522000;12.390000;10.465000;12.522000;12.390000;10.465000;5.033424
109000;10000;1;37.555000;37.555000;12.976000;13.156000;11.423000;12.976000;13.156000;11.423000;5.037426
110000;10000;1;35.390000;35.390000;12.059000;12.359000;10.972000;12.059000;12.359000;10.972000;5.041393
111000;10000;1;36.514000;36.514000;12.339000;12.462000;11.713000;12.339000;12.462000;11.713000;5.045323
112000;10000;1;36.065000;36.065000;12.611000;12.143000;11.311000;12.611000;12.143000;11.311000;5.049218
113000;10000;1;37.983000;37.983000;13.821000;12.893000;11.269000;13.821000;12.893000;11.269000;5.053079
114000;10000;1;36.456000;36.456000;12.793000;12.611000;11.052000;12.793000;12.611000;11.052000;5.056905
115000;10000;1;38.183000;38.183000;13.141000;13.085000;11.957000;13.141000;13.085000;11.957000;5.060698
116000;10000;1;37.511000;37.511000;13.061000;12.819000;11.631000;13.061000;12.819000;11.631000;5.064458
117000;10000;1;38.989000;38.989000;13.854000;13.624000;11.511000;13.854000;13.624000;11.511000;5.068186
118000;10000;1;38.927000;38.927000;13.491000;13.626000;11.810000;13.491000;13.626000;11.810000;5.071882
119000;10000;1;39.087000;39.087000;13.789000;13.503000;11.795000;13.789000;13.503000;11.795000;5.075547
120000;10000;1;39.675000;39.675000;14.030000;13.746000;11.899000;14.030000;13.746000;11.899000;5.079181
121000;10000;1;40.172000;40.172000;13.560000;14.338000;12.274000;13.560000;14.338000;12.274000;5.082786
122000;10000;1;40.120000;40.120000;14.004000;14.188000;11.928000;14.004000;14.188000;11.928000;5.086360
123000;10000;1;41.300000;41.300000;14.638000;14.160000;12.502000;14.638000;14.160000;12.502000;5.089905
124000;10000;1;39.893000;39.893000;14.206000;13.563000;12.124000;14.206000;13.563000;12.124000;5.093422
125000;10000;1;41.356000;41.356000;14.530000;14.181000;12.645000;14.530000;14.181000;12.645000;5.096910
126000;10000;1;41.471000;41.471000;14.401000;14.392000;12.678000;14.401000;14.392000;12.678000;5.100370
127000;10000;1;42.806000;42.806000;15.107000;14.652000;13.047000;15.107000;14.652000;13.047000;5.103804
128000;10000;1;41.823000;41.823000;14.566000;14.381000;12.876000;14.566000;14.381000;12.876000;5.107210
129000;10000;1;43.089000;43.089000;14.774000;15.141000;13.174000;14.774000;15.141000;13.174000;5.110590
130000;10000;1;41.690000;41.690000;14.282000;14.553000;12.855000;14.282000;14.553000;12.855000;5.113944
131000;10000;1;44.628000;44.628000;15.585000;15.156000;13.887000;15.585000;15.156000;13.887000;5.117271
132000;10000;1;42.978000;42.978000;15.241000;14.882000;12.855000;15.241000;14.882000;12.855000;5.120574
133000;10000;1;43.464000;43.464000;14.789000;15.112000;13.563000;14.789000;15.112000;13.563000;5.123852
134000;10000;1;44.308000;44.308000;15.955000;14.754000;13.599000;15.955000;14.754000;13.599000;5.127105
135000;10000;1;44.776000;44.776000;15.788000;15.487000;13.501000;15.788000;15.487000;13.501000;5.130334
136000;10000;1;42.789000;42.789000;14.771000;14.970000;13.048000;14.771000;14.970000;13.048000;5.133539
137000;10000;1;44.923000;44.923000;16.072000;15.155000;13.696000;16.072000;15.155000;13.696000;5.136721
138000;10000;1;44.268000;44.268000;15.501000;15.433000;13.334000;15.501000;15.433000;13.334000;5.139879
139000;10000;1;49.522000;49.522000;17.103000;17.734000;14.685000;17.103000;17.734000;14.685000;5.143015
140000;10000;1;44.914000;44.914000;16.013000;15.149000;13.752000;16.013000;15.149000;13.752000;5.146128
141000;10000;1;46.884000;46.884000;16.128000;16.663000;14.093000;16.128000;16.663000;14.093000;5.149219
